Node ID,Type,Degree
0,EntityNode,257
1,EntityNode,114
2,EntityNode,114
3,EntityNode,114
4,EntityNode,257
5,EntityNode,257
6,EntityNode,257
7,EntityNode,257
8,EntityNode,257
9,EntityNode,60
10,EntityNode,60
11,EntityNode,257
12,EntityNode,60
13,EntityNode,379
14,EntityNode,379
15,EntityNode,60
16,EntityNode,379
17,EntityNode,379
18,EntityNode,114
19,EntityNode,114
20,EntityNode,114
21,EntityNode,114
22,EntityNode,114
23,EntityNode,114
24,EntityNode,114
25,EntityNode,114
26,EntityNode,114
27,EntityNode,114
28,EntityNode,114
29,EntityNode,114
30,EntityNode,114
31,EntityNode,114
32,EntityNode,114
33,EntityNode,114
34,EntityNode,114
35,EntityNode,114
36,EntityNode,379
37,EntityNode,257
38,EntityNode,257
39,EntityNode,257
40,EntityNode,257
41,EntityNode,257
42,EntityNode,60
43,EntityNode,257
44,EntityNode,60
45,EntityNode,379
46,EntityNode,257
47,EntityNode,257
48,EntityNode,257
49,EntityNode,257
50,EntityNode,379
51,EntityNode,257
52,EntityNode,379
53,EntityNode,379
54,EntityNode,257
55,EntityNode,379
56,EntityNode,257
57,EntityNode,379
58,EntityNode,257
59,EntityNode,379
60,EntityNode,257
61,EntityNode,257
62,EntityNode,379
63,EntityNode,257
64,EntityNode,379
65,EntityNode,257
66,EntityNode,379
67,EntityNode,379
68,EntityNode,379
69,EntityNode,379
70,EntityNode,257
71,EntityNode,257
72,EntityNode,379
73,EntityNode,379
74,TermNode,425
75,TermNode,60
76,TermNode,169
77,TermNode,425
78,TermNode,418
79,TermNode,169
80,TermNode,425
81,TermNode,425
82,TermNode,60
83,TermNode,536
84,TermNode,60
85,TermNode,60
86,TermNode,313
87,TermNode,856
88,TermNode,425
89,TermNode,60
90,TermNode,60
91,TermNode,60
92,TermNode,60
93,TermNode,60
94,TermNode,60
95,TermNode,60
96,TermNode,60
97,TermNode,60
98,TermNode,60
99,TermNode,60
100,TermNode,952
101,TermNode,856
102,TermNode,60
103,TermNode,60
104,TermNode,60
105,TermNode,524
106,TermNode,60
107,TermNode,425
108,TermNode,536
109,TermNode,654
110,TermNode,60
111,TermNode,425
112,TermNode,60
113,TermNode,60
114,TermNode,60
115,TermNode,60
116,TermNode,60
117,TermNode,60
118,TermNode,60
119,TermNode,60
120,TermNode,425
121,TermNode,60
122,TermNode,425
123,TermNode,60
124,TermNode,313
125,TermNode,60
126,TermNode,60
127,TermNode,60
128,EntityNode,481
129,EntityNode,481
130,EntityNode,481
131,TermNode,114
132,EntityNode,481
133,TermNode,114
134,EntityNode,481
135,EntityNode,481
136,TermNode,114
137,TermNode,114
138,EntityNode,481
139,TermNode,114
140,EntityNode,481
141,TermNode,114
142,EntityNode,481
143,TermNode,114
144,EntityNode,481
145,TermNode,114
146,TermNode,114
147,TermNode,481
148,TermNode,911
149,EntityNode,481
150,TermNode,585
151,EntityNode,481
152,TermNode,366
153,EntityNode,481
154,EntityNode,481
155,TermNode,114
156,TermNode,481
157,EntityNode,481
158,TermNode,114
159,EntityNode,481
160,TermNode,114
161,TermNode,114
162,EntityNode,481
163,TermNode,114
164,EntityNode,481
165,TermNode,1126
166,EntityNode,481
167,TermNode,114
168,TermNode,114
169,TermNode,911
170,TermNode,114
171,TermNode,481
172,TermNode,114
173,TermNode,114
174,TermNode,114
175,TermNode,481
176,TermNode,114
177,TermNode,911
178,TermNode,114
179,TermNode,114
180,TermNode,114
181,TermNode,114
182,TermNode,114
183,TermNode,114
184,TermNode,114
185,TermNode,114
186,TermNode,114
187,TermNode,114
188,TermNode,114
189,TermNode,114
190,TermNode,114
191,TermNode,114
192,TermNode,114
193,TermNode,819
194,TermNode,114
195,TermNode,114
196,TermNode,114
197,TermNode,114
198,TermNode,114
199,TermNode,114
200,TermNode,114
201,TermNode,114
202,TermNode,114
203,TermNode,366
204,TermNode,114
205,TermNode,114
206,TermNode,114
207,TermNode,114
208,TermNode,911
209,TermNode,114
210,TermNode,114
211,TermNode,114
212,TermNode,114
213,TermNode,114
214,TermNode,114
215,TermNode,114
216,TermNode,114
217,TermNode,114
218,TermNode,585
219,TermNode,114
220,TermNode,114
221,TermNode,114
222,TermNode,114
