EdgeID,Type,IsDirected,Degree,UndirectedDegree,TailDegree,HeadDegree
0,DocumentEdge,false,123,123,0,0
1,RelatedToEdge,false,28,28,0,0
2,ContainedInEdge,true,2,0,1,1
3,ContainedInEdge,true,2,0,1,1
4,ContainedInEdge,true,2,0,1,1
5,ContainedInEdge,true,3,0,2,1
6,ContainedInEdge,true,3,0,2,1
7,ContainedInEdge,true,2,0,1,1
8,ContainedInEdge,true,2,0,1,1
9,ContainedInEdge,true,2,0,1,1
10,ContainedInEdge,true,4,0,3,1
11,ContainedInEdge,true,3,0,2,1
12,ContainedInEdge,true,2,0,1,1
13,ContainedInEdge,true,3,0,2,1
14,ContainedInEdge,true,3,0,2,1
15,ContainedInEdge,true,2,0,1,1
16,ContainedInEdge,true,3,0,2,1
17,ContainedInEdge,true,2,0,1,1
18,ContainedInEdge,true,2,0,1,1
19,ContainedInEdge,true,3,0,2,1
20,ContainedInEdge,true,2,0,1,1
21,ContainedInEdge,true,2,0,1,1
22,ContainedInEdge,true,2,0,1,1
23,ContainedInEdge,true,2,0,1,1
