NodeID,Type,Degree,InDegree,OutDegree
0,EntityNode,1123,1123,1123
1,EntityNode,1123,1123,1123
2,EntityNode,1123,1123,1123
3,EntityNode,365,365,365
4,EntityNode,365,365,365
5,EntityNode,365,365,365
6,EntityNode,365,365,365
7,EntityNode,365,365,365
8,EntityNode,365,365,365
9,EntityNode,365,365,365
10,EntityNode,365,365,365
11,EntityNode,365,365,365
12,EntityNode,365,365,365
13,EntityNode,365,365,365
14,EntityNode,365,365,365
15,EntityNode,365,365,365
16,EntityNode,365,365,365
17,EntityNode,365,365,365
18,EntityNode,365,365,365
19,EntityNode,365,365,365
20,EntityNode,365,365,365
21,EntityNode,365,365,365
22,EntityNode,365,365,365
23,EntityNode,365,365,365
24,EntityNode,365,365,365
25,EntityNode,365,365,365
26,EntityNode,365,365,365
27,EntityNode,123,123,123
28,EntityNode,123,123,123
29,EntityNode,1123,1123,1123
30,EntityNode,123,123,123
31,EntityNode,1123,1123,1123
32,EntityNode,123,123,123
33,EntityNode,1123,1123,1123
34,EntityNode,123,123,123
35,EntityNode,1123,1123,1123
36,EntityNode,1123,1123,1123
37,EntityNode,123,123,123
38,EntityNode,123,123,123
39,EntityNode,1123,1123,1123
40,EntityNode,123,123,123
41,EntityNode,1123,1123,1123
42,EntityNode,123,123,123
43,EntityNode,123,123,123
44,EntityNode,123,123,123
45,EntityNode,123,123,123
46,EntityNode,123,123,123
47,EntityNode,365,365,365
48,EntityNode,123,123,123
49,EntityNode,123,123,123
50,EntityNode,365,365,365
51,EntityNode,123,123,123
52,EntityNode,123,123,123
53,EntityNode,365,365,365
54,EntityNode,365,365,365
55,EntityNode,365,365,365
56,EntityNode,365,365,365
57,EntityNode,1123,1123,1123
58,EntityNode,365,365,365
59,EntityNode,123,123,123
60,EntityNode,123,123,123
61,EntityNode,365,365,365
62,EntityNode,123,123,123
63,EntityNode,365,365,365
64,EntityNode,365,365,365
65,EntityNode,123,123,123
66,EntityNode,123,123,123
67,EntityNode,123,123,123
68,EntityNode,123,123,123
69,EntityNode,123,123,123
70,EntityNode,123,123,123
71,EntityNode,123,123,123
72,EntityNode,123,123,123
73,EntityNode,365,365,365
74,EntityNode,1123,1123,1123
75,EntityNode,1123,1123,1123
76,EntityNode,365,365,365
77,EntityNode,1123,1123,1123
78,EntityNode,365,365,365
79,EntityNode,1123,1123,1123
80,EntityNode,365,365,365
81,EntityNode,365,365,365
82,EntityNode,1123,1123,1123
83,EntityNode,1123,1123,1123
84,EntityNode,123,123,123
85,EntityNode,1123,1123,1123
86,EntityNode,1123,1123,1123
87,EntityNode,1123,1123,1123
88,EntityNode,365,365,365
89,EntityNode,1123,1123,1123
90,EntityNode,365,365,365
91,EntityNode,365,365,365
92,EntityNode,1123,1123,1123
93,EntityNode,1123,1123,1123
94,EntityNode,365,365,365
95,EntityNode,1123,1123,1123
96,EntityNode,1123,1123,1123
97,EntityNode,1123,1123,1123
