EdgeID,Type,IsDirected,Cardinality,UndirectedCardinality,TailCardinality,HeadCardinality
0,DocumentEdge,false,1123,1123,0,0
1,DocumentEdge,false,365,365,0,0
2,DocumentEdge,false,123,123,0,0
3,RelatedToEdge,false,28,28,0,0
4,RelatedToEdge,false,283,283,0,0
5,RelatedToEdge,false,162,162,0,0
6,ContainedInEdge,true,2,0,1,1
7,ContainedInEdge,true,2,0,1,1
8,ContainedInEdge,true,2,0,1,1
9,ContainedInEdge,true,2,0,1,1
10,ContainedInEdge,true,2,0,1,1
11,ContainedInEdge,true,2,0,1,1
12,ContainedInEdge,true,2,0,1,1
13,ContainedInEdge,true,2,0,1,1
14,ContainedInEdge,true,2,0,1,1
15,ContainedInEdge,true,2,0,1,1
16,ContainedInEdge,true,2,0,1,1
17,ContainedInEdge,true,2,0,1,1
18,ContainedInEdge,true,2,0,1,1
19,ContainedInEdge,true,2,0,1,1
20,ContainedInEdge,true,2,0,1,1
21,ContainedInEdge,true,2,0,1,1
22,ContainedInEdge,true,3,0,2,1
23,ContainedInEdge,true,2,0,1,1
24,ContainedInEdge,true,2,0,1,1
25,ContainedInEdge,true,2,0,1,1
26,ContainedInEdge,true,2,0,1,1
27,ContainedInEdge,true,3,0,2,1
28,ContainedInEdge,true,3,0,2,1
29,ContainedInEdge,true,2,0,1,1
30,ContainedInEdge,true,2,0,1,1
31,ContainedInEdge,true,3,0,2,1
32,ContainedInEdge,true,2,0,1,1
33,ContainedInEdge,true,2,0,1,1
34,ContainedInEdge,true,2,0,1,1
35,ContainedInEdge,true,2,0,1,1
36,ContainedInEdge,true,2,0,1,1
37,ContainedInEdge,true,2,0,1,1
38,ContainedInEdge,true,2,0,1,1
39,ContainedInEdge,true,2,0,1,1
40,ContainedInEdge,true,2,0,1,1
41,ContainedInEdge,true,2,0,1,1
42,ContainedInEdge,true,2,0,1,1
43,ContainedInEdge,true,3,0,2,1
44,ContainedInEdge,true,2,0,1,1
45,ContainedInEdge,true,4,0,3,1
46,ContainedInEdge,true,2,0,1,1
47,ContainedInEdge,true,2,0,1,1
48,ContainedInEdge,true,3,0,2,1
49,ContainedInEdge,true,2,0,1,1
50,ContainedInEdge,true,3,0,2,1
51,ContainedInEdge,true,2,0,1,1
52,ContainedInEdge,true,2,0,1,1
53,ContainedInEdge,true,2,0,1,1
54,ContainedInEdge,true,2,0,1,1
55,ContainedInEdge,true,2,0,1,1
56,ContainedInEdge,true,2,0,1,1
57,ContainedInEdge,true,2,0,1,1
58,ContainedInEdge,true,2,0,1,1
59,ContainedInEdge,true,2,0,1,1
60,ContainedInEdge,true,2,0,1,1
61,ContainedInEdge,true,2,0,1,1
62,ContainedInEdge,true,2,0,1,1
63,ContainedInEdge,true,2,0,1,1
64,ContainedInEdge,true,2,0,1,1
65,ContainedInEdge,true,2,0,1,1
66,ContainedInEdge,true,2,0,1,1
67,ContainedInEdge,true,2,0,1,1
68,ContainedInEdge,true,2,0,1,1
69,ContainedInEdge,true,2,0,1,1
70,ContainedInEdge,true,2,0,1,1
71,ContainedInEdge,true,3,0,2,1
72,ContainedInEdge,true,2,0,1,1
73,ContainedInEdge,true,4,0,3,1
74,ContainedInEdge,true,2,0,1,1
75,ContainedInEdge,true,2,0,1,1
76,ContainedInEdge,true,2,0,1,1
77,ContainedInEdge,true,2,0,1,1
78,ContainedInEdge,true,2,0,1,1
79,ContainedInEdge,true,2,0,1,1
80,ContainedInEdge,true,2,0,1,1
81,ContainedInEdge,true,2,0,1,1
82,ContainedInEdge,true,3,0,2,1
83,ContainedInEdge,true,2,0,1,1
84,ContainedInEdge,true,2,0,1,1
85,ContainedInEdge,true,2,0,1,1
86,ContainedInEdge,true,2,0,1,1
87,ContainedInEdge,true,3,0,2,1
88,ContainedInEdge,true,2,0,1,1
89,ContainedInEdge,true,2,0,1,1
90,ContainedInEdge,true,2,0,1,1
91,ContainedInEdge,true,2,0,1,1
92,ContainedInEdge,true,2,0,1,1
93,ContainedInEdge,true,3,0,2,1
94,ContainedInEdge,true,2,0,1,1
95,ContainedInEdge,true,2,0,1,1
96,ContainedInEdge,true,2,0,1,1
97,ContainedInEdge,true,3,0,2,1
98,ContainedInEdge,true,2,0,1,1
99,ContainedInEdge,true,2,0,1,1
100,ContainedInEdge,true,3,0,2,1
101,ContainedInEdge,true,3,0,2,1
102,ContainedInEdge,true,2,0,1,1
103,ContainedInEdge,true,3,0,2,1
104,ContainedInEdge,true,2,0,1,1
105,ContainedInEdge,true,2,0,1,1
106,ContainedInEdge,true,2,0,1,1
107,ContainedInEdge,true,2,0,1,1
108,ContainedInEdge,true,2,0,1,1
109,ContainedInEdge,true,2,0,1,1
110,ContainedInEdge,true,3,0,2,1
111,ContainedInEdge,true,3,0,2,1
112,ContainedInEdge,true,2,0,1,1
