NodeID,Type,Name,VertexDegree,EdgeDegree,InVertexDegree,OutVertexDegree,InEdgeDegree,OutEdgeDegree,DirectedInVertexDegree,DirectedOutVertexDegree,DirectedInEdgeDegree,DirectedOutEdgeDegree
0,EntityNode,iodine,234,2,234,234,2,2,0,0,0,0
1,EntityNode,Republican,1952,5,1952,1952,5,4,1,0,1,0
2,EntityNode,monoclinic,234,2,234,234,2,2,0,0,0,0
3,EntityNode,Democrat,1123,3,1123,1123,3,2,1,0,1,0
4,EntityNode,Montreal Gazette,104,3,104,104,3,2,1,0,1,0
5,EntityNode,International Arbiter,105,3,105,104,3,2,1,0,1,0
6,EntityNode,FIDE,1872,5,1872,1872,5,4,1,0,1,0
7,EntityNode,Larry Bevand,104,2,104,104,2,1,1,0,1,0
8,EntityNode,Chess'n Math Association,104,3,104,104,3,2,2,0,1,0
9,EntityNode,Euparkeria,365,3,365,365,3,2,1,0,1,0
10,EntityNode,Montreal,1872,5,1872,1872,5,4,1,0,1,0
11,EntityNode,Prehistoric reptile,365,1,365,365,1,1,0,0,0,0
12,EntityNode,Pascal Charbonneau,104,3,104,104,3,2,2,0,1,0
13,EntityNode,Canada,551,5,551,551,5,4,1,0,1,0
14,EntityNode,Phytosaur,365,3,365,365,3,2,1,0,1,0
15,EntityNode,Belodon,365,3,365,365,3,2,1,0,1,0
16,EntityNode,Chess Federation of Canada,104,3,104,104,3,2,2,0,1,0
17,EntityNode,Quebec,104,3,104,104,3,2,1,0,1,0
18,EntityNode,Centemodon,365,3,365,365,3,2,1,0,1,0
19,EntityNode,Grandmaster,1872,4,1872,1872,4,4,0,0,0,0
20,EntityNode,Ornithosuchus,365,2,365,365,2,2,0,0,0,0
21,EntityNode,Canadian,104,3,104,104,3,2,1,0,1,0
22,EntityNode,Chess,2201,9,2201,2201,9,8,1,0,1,0
23,EntityNode,Revueltosaurus,365,2,365,365,2,2,0,0,0,0
24,EntityNode,Aetosaur,365,3,365,365,3,2,1,0,1,0
25,EntityNode,Rauisuchia,365,2,365,365,2,2,0,0,0,0
26,EntityNode,Postosuchus,365,2,365,365,2,2,0,0,0,0
27,EntityNode,Nullifier,1123,2,1123,1123,2,2,0,0,0,0
28,EntityNode,United States presidential election,1123,2,1123,1123,2,2,0,0,0,0
29,EntityNode,Shuvosaurus,365,2,365,365,2,2,0,0,0,0
30,EntityNode,oxide,234,2,234,234,2,2,0,0,0,0
31,EntityNode,Molybdenum dioxide,234,2,234,234,2,1,1,0,1,0
32,EntityNode,chemical transport,234,3,234,234,3,2,1,0,1,0
33,EntityNode,"United States presidential election, 1948",1123,3,1123,1123,3,2,1,0,1,0
34,EntityNode,Canadian champion,104,3,104,104,3,2,2,0,1,0
35,EntityNode,"Cotton, F. Albert",234,3,234,234,3,2,2,0,1,0
36,EntityNode,pm,234,2,234,234,2,2,0,0,0,0
37,EntityNode,Teratosaurus,365,2,365,365,2,2,0,0,0,0
38,EntityNode,close packed,234,3,234,234,3,2,1,0,1,0
39,EntityNode,IUPAC name,234,3,234,234,3,2,2,0,1,0
40,EntityNode,Gracilisuchus,365,2,365,365,2,2,0,0,0,0
41,EntityNode,Hallopus,365,2,365,365,2,2,0,0,0,0
42,EntityNode,Crocodile,365,2,365,365,2,2,0,0,0,0
43,EntityNode,Lagosuchus,365,2,365,365,2,2,0,0,0,0
44,EntityNode,George McGovern,1123,3,1123,1123,3,2,1,0,1,0
45,EntityNode,Deinosuchus,365,2,365,365,2,2,0,0,0,0
46,EntityNode,Dakosaurus,365,2,365,365,2,2,0,0,0,0
47,EntityNode,Goniopholis,365,2,365,365,2,2,0,0,0,0
48,EntityNode,Molybdenum(VI) oxide,234,3,234,234,3,2,1,0,1,0
49,EntityNode,doi,2002,5,2002,2002,5,4,1,0,1,0
50,EntityNode,standard state(at 25,234,3,234,234,3,2,2,0,1,0
51,EntityNode,H2,234,2,234,234,2,2,0,0,0,0
52,EntityNode,formula,234,3,234,234,3,2,1,0,1,0
53,EntityNode,MoS2,234,3,234,234,3,2,1,0,1,0
54,EntityNode,Araeoscelida,365,2,365,365,2,2,0,0,0,0
55,EntityNode,Libonectes,365,2,365,365,2,2,0,0,0,0
56,EntityNode,Liopleurodon,365,3,365,365,3,2,1,0,1,0
57,EntityNode,Petrolacosaurus,365,2,365,365,2,2,0,0,0,0
58,EntityNode,James M. Cox,1123,3,1123,1123,3,2,1,0,1,0
59,EntityNode,tungsten,234,3,234,234,3,2,1,0,1,0
60,EntityNode,William Wirt,1123,3,1123,1123,3,2,2,0,1,0
61,EntityNode,"Wilkinson, Geoffrey",234,3,234,234,3,2,1,0,1,0
62,EntityNode,Harry S. Truman,1123,3,1123,1123,3,2,1,0,1,0
63,EntityNode,chemical compound,234,3,234,234,3,2,1,0,1,0
64,EntityNode,American,1123,3,1123,1123,3,2,1,0,1,0
65,EntityNode,NH3,234,3,234,234,3,2,1,0,1,0
66,EntityNode,Eugene V. Debs,1123,2,1123,1123,2,2,0,0,0,0
67,EntityNode,John G. Schmitz,1123,3,1123,1123,3,2,2,0,1,0
68,EntityNode,Thomas E. Dewey,1124,3,1124,1123,3,2,1,0,1,0
69,EntityNode,Anti-Masonic,1123,3,1123,1123,3,2,1,0,1,0
70,EntityNode,Socialist,1123,3,1123,1123,3,2,1,0,1,0
71,EntityNode,Jimmy Carter,1123,3,1123,1123,3,2,1,0,1,0
72,EntityNode,"United States presidential election, 1836",1123,3,1123,1123,3,2,1,0,1,0
73,EntityNode,"United States presidential election, 1976",1123,3,1123,1123,3,2,1,0,1,0
74,EntityNode,Martin Van Buren,1123,3,1123,1123,3,2,3,0,1,0
75,EntityNode,"United States presidential election, 1924",1123,3,1123,1123,3,2,1,0,1,0
76,EntityNode,Strom Thurmond,1123,3,1123,1123,3,2,2,0,1,0
77,EntityNode,Calvin Coolidge,1123,3,1123,1123,3,2,1,0,1,0
