NodeID,Type,Name,VertexDegree,EdgeDegree,InVertexDegree,OutVertexDegree,InEdgeDegree,OutEdgeDegree,DirectedInVertexDegree,DirectedOutVertexDegree,DirectedInEdgeDegree,DirectedOutEdgeDegree
0,EntityNode,prehistoric,365,2,365,365,2,2,0,0,0,0
1,EntityNode,Prehistoric reptile,365,1,365,365,1,1,0,0,0,0
2,EntityNode,prehistoric life,365,3,365,365,3,2,1,0,1,0
3,EntityNode,Theory of relativity,173,2,173,173,2,2,0,0,0,0
4,EntityNode,"Atomic, molecular, and optical physics",173,3,173,173,3,2,1,0,1,0
5,EntityNode,Special relativity,173,3,173,173,3,2,1,0,1,0
6,EntityNode,optical physics,173,2,173,173,2,2,0,0,0,0
7,EntityNode,optical field,173,3,173,173,3,2,1,0,1,0
8,EntityNode,physical chemistry,173,2,173,173,2,2,0,0,0,0
9,EntityNode,nuclear physics,173,3,173,173,3,2,1,0,1,0
10,EntityNode,General relativity,173,2,173,173,2,2,0,0,0,0
11,EntityNode,Molecular physics,173,3,173,173,3,2,1,0,1,0
12,EntityNode,Statics,173,2,173,173,2,2,0,0,0,0
13,EntityNode,Quantum field theory,173,3,173,173,3,2,2,0,1,0
14,EntityNode,hyperfine structure,173,2,173,173,2,2,0,0,0,0
15,EntityNode,photonics,173,2,173,173,2,2,0,0,0,0
16,EntityNode,Fluid statics,173,3,173,173,3,2,1,0,1,0
17,EntityNode,Atomic physics,173,2,173,173,2,2,0,0,0,0
18,EntityNode,Quantum mechanics,173,3,173,173,3,2,1,0,1,0
19,EntityNode,Optical physics,173,2,173,173,2,2,0,0,0,0
20,EntityNode,classical,173,2,173,173,2,2,0,0,0,0
21,EntityNode,"Cochrane Lake, Alberta",123,3,123,123,3,2,2,0,1,0
22,EntityNode,"Cochrane, Wisconsin",123,3,123,123,3,2,1,0,1,0
23,EntityNode,Vice President of the United States,1123,3,1123,1123,3,2,1,0,1,0
24,EntityNode,Cochrane (disambiguation),123,1,123,123,1,1,0,0,0,0
25,EntityNode,Johnnie Cochran,123,3,123,123,3,2,1,0,1,0
26,EntityNode,plurality voting system,1123,3,1123,1123,3,2,1,0,1,0
27,EntityNode,"Cochrane, Chile",123,3,123,123,3,2,1,0,1,0
28,EntityNode,United States presidential election,1123,2,1123,1123,2,2,0,0,0,0
29,EntityNode,President of the United States,1123,2,1123,1123,2,2,0,0,0,0
30,EntityNode,Warp drive,123,3,123,123,3,2,2,0,1,0
31,EntityNode,Electoral College (United States),1123,2,1123,1123,2,2,0,0,0,0
