Edge ID,Type,Degree
0,DocumentEdge,2
1,DocumentEdge,5
2,DocumentEdge,2
3,DocumentEdge,3
4,RelatedToEdge,3
5,RelatedToEdge,13
6,RelatedToEdge,3
7,RelatedToEdge,3
8,DocumentEdge,3
9,RelatedToEdge,11
10,DocumentEdge,31
11,RelatedToEdge,232
12,DocumentEdge,2
13,RelatedToEdge,3
14,DocumentEdge,13
15,RelatedToEdge,3
16,DocumentEdge,3
17,RelatedToEdge,3
18,DocumentEdge,3
19,RelatedToEdge,3
20,DocumentEdge,3
21,RelatedToEdge,3
22,DocumentEdge,3
23,RelatedToEdge,3
24,DocumentEdge,3
25,RelatedToEdge,91
26,DocumentEdge,2
27,RelatedToEdge,3
28,DocumentEdge,2
29,RelatedToEdge,3
30,DocumentEdge,3
31,RelatedToEdge,14
32,DocumentEdge,12
33,RelatedToEdge,7
34,DocumentEdge,7
35,RelatedToEdge,22
36,DocumentEdge,2
37,RelatedToEdge,3
38,DocumentEdge,10
39,RelatedToEdge,2
40,DocumentEdge,137
41,RelatedToEdge,4
42,DocumentEdge,14
43,RelatedToEdge,3
44,DocumentEdge,7
45,RelatedToEdge,5
46,DocumentEdge,7
47,RelatedToEdge,3
48,DocumentEdge,3
49,RelatedToEdge,7
50,DocumentEdge,19
51,RelatedToEdge,9
52,DocumentEdge,5
53,RelatedToEdge,3
54,DocumentEdge,7
55,RelatedToEdge,29
56,DocumentEdge,3
57,RelatedToEdge,3
58,DocumentEdge,7
59,RelatedToEdge,6
60,DocumentEdge,3
61,RelatedToEdge,24
62,DocumentEdge,19
63,RelatedToEdge,3
64,DocumentEdge,2
65,RelatedToEdge,28
66,DocumentEdge,3
67,RelatedToEdge,3
68,DocumentEdge,3
69,RelatedToEdge,211
70,DocumentEdge,3
71,RelatedToEdge,3
72,DocumentEdge,20
73,RelatedToEdge,3
74,DocumentEdge,5
75,RelatedToEdge,5
76,DocumentEdge,3
77,RelatedToEdge,3
78,DocumentEdge,11
79,RelatedToEdge,3
80,DocumentEdge,20
81,RelatedToEdge,3
82,DocumentEdge,8
83,RelatedToEdge,3
84,DocumentEdge,137
85,DocumentEdge,3
86,RelatedToEdge,3
87,DocumentEdge,3
88,RelatedToEdge,3
89,RelatedToEdge,113
90,DocumentEdge,3
91,RelatedToEdge,3
92,DocumentEdge,3
93,RelatedToEdge,65
94,DocumentEdge,11
95,RelatedToEdge,22
96,DocumentEdge,5
97,RelatedToEdge,3
98,DocumentEdge,3
99,RelatedToEdge,11
100,DocumentEdge,3
101,RelatedToEdge,7
102,DocumentEdge,8
103,DocumentEdge,5
104,RelatedToEdge,5
105,DocumentEdge,3
106,RelatedToEdge,3
107,DocumentEdge,9
108,RelatedToEdge,13
109,DocumentEdge,165
110,RelatedToEdge,3
111,DocumentEdge,9
112,RelatedToEdge,3
113,DocumentEdge,7
114,RelatedToEdge,19
115,DocumentEdge,3
116,RelatedToEdge,3
