NodeID,Type,Name,VertexDegree,EdgeDegree,InVertexDegree,OutVertexDegree,InEdgeDegree,OutEdgeDegree,DirectedInVertexDegree,DirectedOutVertexDegree,DirectedInEdgeDegree,DirectedOutEdgeDegree
0,EntityNode,United States presidential election,1123,2,1123,1123,2,2,0,0,0,0
1,EntityNode,Stephen A. Douglas,1123,3,1123,1123,3,2,1,0,1,0
2,EntityNode,Barack Obama,1123,3,1123,1123,3,2,2,0,1,0
3,EntityNode,U.S. Census Bureau,1123,3,1123,1123,3,2,1,0,1,0
4,EntityNode,"United States presidential election, 1924",1123,3,1123,1123,3,2,1,0,1,0
5,EntityNode,"United States presidential election, 1928",1123,3,1123,1123,3,2,1,0,1,0
6,EntityNode,"United States presidential election, 1932",1123,3,1123,1123,3,2,1,0,1,0
7,EntityNode,"United States presidential election, 1936",1123,3,1123,1123,3,2,1,0,1,0
8,EntityNode,Republican,1123,3,1123,1123,3,2,1,0,1,0
9,EntityNode,"United States presidential election, 1940",1123,3,1123,1123,3,2,1,0,1,0
10,EntityNode,"United States presidential election, 1944",1123,3,1123,1123,3,2,1,0,1,0
11,EntityNode,"United States presidential election, 1948",1123,3,1123,1123,3,2,1,0,1,0
12,EntityNode,List of United States presidential elections by Electoral College margin,1123,3,1123,1123,3,2,2,0,1,0
13,EntityNode,"United States presidential election, 1952",1123,3,1123,1123,3,2,1,0,1,0
14,EntityNode,"United States presidential election, 1956",1123,3,1123,1123,3,2,1,0,1,0
15,EntityNode,George W. Bush,1123,3,1123,1123,3,2,1,0,1,0
16,EntityNode,"United States presidential election, 1960",1123,3,1123,1123,3,2,1,0,1,0
17,EntityNode,"United States presidential election, 1964",1123,3,1123,1123,3,2,1,0,1,0
18,EntityNode,"United States presidential election, 1792",1123,3,1123,1123,3,2,1,0,1,0
19,EntityNode,"United States presidential election, 1968",1123,3,1123,1123,3,2,1,0,1,0
20,EntityNode,"United States presidential election, 1789",1123,3,1123,1123,3,2,1,0,1,0
21,EntityNode,"United States presidential election, 1972",1123,3,1123,1123,3,2,1,0,1,0
22,EntityNode,Bob Barr,1123,3,1123,1123,3,2,2,0,1,0
23,EntityNode,"United States presidential election, 1976",1123,3,1123,1123,3,2,1,0,1,0
24,EntityNode,"United States presidential election, 1980",1123,3,1123,1123,3,2,1,0,1,0
25,EntityNode,1984,1123,3,1123,1123,3,2,1,0,1,0
26,EntityNode,"United States presidential election, 1796",1123,3,1123,1123,3,2,1,0,1,0
27,EntityNode,Ralph Nader,1123,3,1123,1123,3,2,2,0,1,0
28,EntityNode,"United States presidential election, 1988",1123,3,1123,1123,3,2,1,0,1,0
29,EntityNode,"United States presidential election, 1992",1123,3,1123,1123,3,2,1,0,1,0
30,EntityNode,"United States presidential election, 1996",1123,3,1123,1123,3,2,1,0,1,0
31,EntityNode,"United States presidential election, 1812",1123,3,1123,1123,3,2,1,0,1,0
32,EntityNode,"United States presidential election, 2000",1123,3,1123,1123,3,2,1,0,1,0
33,EntityNode,"United States presidential election, 2004",1123,3,1123,1123,3,2,1,0,1,0
34,EntityNode,"United States presidential election, 1800",1123,3,1123,1123,3,2,1,0,1,0
35,EntityNode,List by state,1123,3,1123,1123,3,2,2,0,1,0
36,EntityNode,"United States presidential election, 2008",1123,3,1123,1123,3,2,1,0,1,0
37,EntityNode,"United States presidential election, 1824",1123,3,1123,1123,3,2,1,0,1,0
38,EntityNode,Herbert Hoover,1123,3,1123,1123,3,2,2,0,1,0
39,EntityNode,Cynthia McKinney,1123,3,1123,1123,3,2,1,0,1,0
40,EntityNode,Alson Streeter,1123,3,1123,1123,3,2,2,0,1,0
41,EntityNode,"United States presidential election, 1804",1123,3,1123,1123,3,2,1,0,1,0
42,EntityNode,Constitution,1123,3,1123,1123,3,2,1,0,1,0
43,EntityNode,United States Senate,1123,2,1123,1123,2,2,0,0,0,0
44,EntityNode,Union Labor,1123,3,1123,1123,3,2,2,0,1,0
