EdgeID,Type,IsDirected,Cardinality,UndirectedCardinality,TailCardinality,HeadCardinality
0,DocumentEdge,false,404,404,0,0
1,DocumentEdge,false,430,430,0,0
2,RelatedToEdge,false,26,26,0,0
3,DocumentEdge,false,900,900,0,0
4,DocumentEdge,false,339,339,0,0
5,RelatedToEdge,false,102,102,0,0
6,RelatedToEdge,false,74,74,0,0
7,RelatedToEdge,false,24,24,0,0
8,DocumentEdge,false,340,340,0,0
9,RelatedToEdge,false,108,108,0,0
10,DocumentEdge,false,715,715,0,0
11,RelatedToEdge,false,86,86,0,0
12,DocumentEdge,false,2653,2653,0,0
13,RelatedToEdge,false,598,598,0,0
14,DocumentEdge,false,77,77,0,0
15,RelatedToEdge,false,12,12,0,0
16,DocumentEdge,false,184,184,0,0
17,RelatedToEdge,false,18,18,0,0
18,DocumentEdge,false,32,32,0,0
19,RelatedToEdge,false,9,9,0,0
20,DocumentEdge,false,146,146,0,0
21,DocumentEdge,false,497,497,0,0
22,RelatedToEdge,false,63,63,0,0
23,DocumentEdge,false,65,65,0,0
24,RelatedToEdge,false,14,14,0,0
25,DocumentEdge,false,487,487,0,0
26,RelatedToEdge,false,85,85,0,0
27,DocumentEdge,false,460,460,0,0
28,RelatedToEdge,false,124,124,0,0
29,RelatedToEdge,false,40,40,0,0
30,DocumentEdge,false,218,218,0,0
31,RelatedToEdge,false,84,84,0,0
32,DocumentEdge,false,310,310,0,0
33,RelatedToEdge,false,47,47,0,0
34,DocumentEdge,false,523,523,0,0
35,DocumentEdge,false,1260,1260,0,0
36,RelatedToEdge,false,135,135,0,0
37,RelatedToEdge,false,143,143,0,0
38,DocumentEdge,false,1762,1762,0,0
39,RelatedToEdge,false,281,281,0,0
40,DocumentEdge,false,308,308,0,0
41,RelatedToEdge,false,42,42,0,0
42,DocumentEdge,false,8,8,0,0
43,RelatedToEdge,false,3,3,0,0
44,DocumentEdge,false,224,224,0,0
45,RelatedToEdge,false,73,73,0,0
46,DocumentEdge,false,578,578,0,0
47,RelatedToEdge,false,220,220,0,0
48,DocumentEdge,false,165,165,0,0
49,RelatedToEdge,false,32,32,0,0
50,DocumentEdge,false,188,188,0,0
51,RelatedToEdge,false,19,19,0,0
52,DocumentEdge,false,334,334,0,0
53,RelatedToEdge,false,37,37,0,0
54,DocumentEdge,false,137,137,0,0
55,RelatedToEdge,false,21,21,0,0
56,DocumentEdge,false,199,199,0,0
57,RelatedToEdge,false,29,29,0,0
58,DocumentEdge,false,405,405,0,0
59,RelatedToEdge,false,57,57,0,0
60,DocumentEdge,false,130,130,0,0
61,RelatedToEdge,false,14,14,0,0
62,DocumentEdge,false,444,444,0,0
63,RelatedToEdge,false,113,113,0,0
