NodeID,Type,Degree,InDegree,OutDegree
0,EntityNode,158,158,158
1,EntityNode,815,815,814
2,EntityNode,814,814,814
3,EntityNode,814,814,814
4,EntityNode,814,814,814
5,EntityNode,158,158,158
6,EntityNode,2982,2982,2982
7,EntityNode,2290,2290,2290
8,EntityNode,2290,2290,2290
9,EntityNode,2290,2290,2290
10,EntityNode,221,221,221
11,EntityNode,2934,2934,2934
12,EntityNode,221,221,221
13,EntityNode,814,814,814
14,EntityNode,814,814,814
15,EntityNode,472,472,472
16,EntityNode,158,158,158
17,EntityNode,158,158,158
18,EntityNode,221,221,221
19,EntityNode,221,221,221
20,EntityNode,158,158,158
21,EntityNode,158,158,158
22,EntityNode,221,221,221
23,EntityNode,158,158,158
24,EntityNode,158,158,158
25,EntityNode,158,158,158
26,EntityNode,814,814,814
27,EntityNode,2290,2290,2290
28,EntityNode,158,158,158
29,EntityNode,2290,2290,2290
30,EntityNode,2290,2290,2290
31,EntityNode,158,158,158
32,EntityNode,2695,2695,2695
33,EntityNode,158,158,158
34,EntityNode,2290,2290,2290
35,EntityNode,3054,3054,3054
36,EntityNode,221,221,221
37,EntityNode,3149,3149,3149
38,EntityNode,221,221,221
39,EntityNode,221,221,221
40,EntityNode,2290,2290,2290
41,EntityNode,2290,2290,2290
42,EntityNode,278,278,278
43,EntityNode,6579,6579,6579
44,EntityNode,2290,2290,2290
45,EntityNode,2290,2290,2290
46,EntityNode,221,221,221
47,EntityNode,221,221,221
48,EntityNode,221,221,221
49,EntityNode,221,221,221
50,EntityNode,814,814,814
51,EntityNode,221,221,221
52,EntityNode,221,221,221
53,EntityNode,814,814,814
54,EntityNode,814,814,814
55,EntityNode,221,221,221
56,EntityNode,814,814,814
57,EntityNode,221,221,221
58,EntityNode,814,814,814
59,EntityNode,221,221,221
60,EntityNode,221,221,221
61,EntityNode,814,814,814
62,EntityNode,814,814,814
63,EntityNode,4341,4341,4341
64,EntityNode,815,815,814
65,EntityNode,2438,2438,2438
66,EntityNode,3054,3054,3054
67,EntityNode,159,159,158
68,EntityNode,2290,2290,2290
69,EntityNode,158,158,158
70,EntityNode,158,158,158
71,EntityNode,2290,2290,2290
72,EntityNode,814,814,814
73,EntityNode,5939,5939,5939
74,EntityNode,2804,2804,2804
75,EntityNode,2290,2290,2290
76,EntityNode,158,158,158
77,EntityNode,814,814,814
78,EntityNode,158,158,158
79,EntityNode,5806,5806,5806
80,EntityNode,2984,2984,2984
81,EntityNode,2290,2290,2290
82,EntityNode,3201,3201,3201
83,EntityNode,158,158,158
84,EntityNode,158,158,158
85,EntityNode,814,814,814
86,EntityNode,815,815,814
87,EntityNode,814,814,814
88,EntityNode,814,814,814
89,EntityNode,814,814,814
90,EntityNode,1299,1299,1299
91,EntityNode,814,814,814
92,EntityNode,814,814,814
93,EntityNode,814,814,814
94,EntityNode,1695,1695,1695
95,EntityNode,814,814,814
96,EntityNode,814,814,814
97,EntityNode,7052,7052,7052
98,EntityNode,814,814,814
99,EntityNode,814,814,814
100,EntityNode,814,814,814
101,EntityNode,814,814,814
102,EntityNode,3382,3382,3382
103,EntityNode,814,814,814
104,EntityNode,815,815,814
105,EntityNode,814,814,814
106,EntityNode,814,814,814
107,EntityNode,9690,9690,9690
108,EntityNode,814,814,814
109,EntityNode,814,814,814
110,EntityNode,1706,1706,1706
111,EntityNode,814,814,814
112,EntityNode,814,814,814
113,EntityNode,814,814,814
114,EntityNode,9660,9660,9660
115,EntityNode,8236,8236,8236
116,EntityNode,3997,3997,3997
117,EntityNode,814,814,814
118,EntityNode,2439,2439,2438
