EdgeID,Type,IsDirected,Degree,UndirectedDegree,TailDegree,HeadDegree
0,DocumentEdge,false,158,158,0,0
1,DocumentEdge,false,814,814,0,0
2,DocumentEdge,false,221,221,0,0
3,DocumentEdge,false,2290,2290,0,0
4,RelatedToEdge,false,21,21,0,0
5,RelatedToEdge,false,114,114,0,0
6,RelatedToEdge,false,33,33,0,0
7,RelatedToEdge,false,329,329,0,0
8,DocumentEdge,false,930,930,0,0
9,RelatedToEdge,false,170,170,0,0
10,DocumentEdge,false,982,982,0,0
11,RelatedToEdge,false,151,151,0,0
12,DocumentEdge,false,812,812,0,0
13,RelatedToEdge,false,125,125,0,0
14,DocumentEdge,false,826,826,0,0
15,DocumentEdge,false,230,230,0,0
16,RelatedToEdge,false,5,5,0,0
17,RelatedToEdge,false,248,248,0,0
18,DocumentEdge,false,375,375,0,0
19,RelatedToEdge,false,59,59,0,0
20,DocumentEdge,false,117,117,0,0
21,RelatedToEdge,false,23,23,0,0
22,DocumentEdge,false,2374,2374,0,0
23,DocumentEdge,false,22,22,0,0
24,RelatedToEdge,false,4,4,0,0
25,DocumentEdge,false,892,892,0,0
26,RelatedToEdge,false,168,168,0,0
27,DocumentEdge,false,1369,1369,0,0
28,RelatedToEdge,false,175,175,0,0
29,RelatedToEdge,false,529,529,0,0
30,DocumentEdge,false,320,320,0,0
31,RelatedToEdge,false,88,88,0,0
32,DocumentEdge,false,522,522,0,0
33,RelatedToEdge,false,92,92,0,0
34,DocumentEdge,false,170,170,0,0
35,RelatedToEdge,false,13,13,0,0
36,DocumentEdge,false,365,365,0,0
37,RelatedToEdge,false,29,29,0,0
38,DocumentEdge,false,94,94,0,0
39,RelatedToEdge,false,15,15,0,0
40,DocumentEdge,false,75,75,0,0
41,RelatedToEdge,false,10,10,0,0
42,DocumentEdge,false,101,101,0,0
43,RelatedToEdge,false,12,12,0,0
44,DocumentEdge,false,1011,1011,0,0
45,RelatedToEdge,false,126,126,0,0
46,DocumentEdge,false,782,782,0,0
47,RelatedToEdge,false,77,77,0,0
48,DocumentEdge,false,228,228,0,0
49,RelatedToEdge,false,18,18,0,0
50,DocumentEdge,false,1341,1341,0,0
51,RelatedToEdge,false,247,247,0,0
52,DocumentEdge,false,246,246,0,0
53,RelatedToEdge,false,38,38,0,0
54,DocumentEdge,false,395,395,0,0
55,RelatedToEdge,false,28,28,0,0
56,DocumentEdge,false,140,140,0,0
57,RelatedToEdge,false,41,41,0,0
58,DocumentEdge,false,324,324,0,0
59,RelatedToEdge,false,44,44,0,0
60,DocumentEdge,false,312,312,0,0
61,RelatedToEdge,false,58,58,0,0
62,DocumentEdge,false,1427,1427,0,0
63,RelatedToEdge,false,199,199,0,0
64,DocumentEdge,false,238,238,0,0
65,RelatedToEdge,false,52,52,0,0
66,DocumentEdge,false,816,816,0,0
67,RelatedToEdge,false,48,48,0,0
68,DocumentEdge,false,598,598,0,0
69,RelatedToEdge,false,109,109,0,0
70,DocumentEdge,false,800,800,0,0
71,RelatedToEdge,false,71,71,0,0
72,DocumentEdge,false,270,270,0,0
73,RelatedToEdge,false,46,46,0,0
74,DocumentEdge,false,859,859,0,0
75,RelatedToEdge,false,111,111,0,0
76,DocumentEdge,false,603,603,0,0
77,RelatedToEdge,false,135,135,0,0
78,DocumentEdge,false,234,234,0,0
79,RelatedToEdge,false,19,19,0,0
80,DocumentEdge,false,468,468,0,0
81,RelatedToEdge,false,83,83,0,0
82,DocumentEdge,false,271,271,0,0
83,RelatedToEdge,false,46,46,0,0
84,DocumentEdge,false,41,41,0,0
85,RelatedToEdge,false,7,7,0,0
86,DocumentEdge,false,166,166,0,0
87,RelatedToEdge,false,16,16,0,0
88,DocumentEdge,false,471,471,0,0
89,RelatedToEdge,false,17,17,0,0
90,DocumentEdge,false,56,56,0,0
91,RelatedToEdge,false,2,2,0,0
92,DocumentEdge,false,54,54,0,0
93,RelatedToEdge,false,2,2,0,0
94,DocumentEdge,false,438,438,0,0
95,RelatedToEdge,false,20,20,0,0
96,DocumentEdge,false,1534,1534,0,0
97,RelatedToEdge,false,239,239,0,0
98,DocumentEdge,false,104,104,0,0
99,RelatedToEdge,false,13,13,0,0
100,DocumentEdge,false,2640,2640,0,0
101,DocumentEdge,false,1817,1817,0,0
102,RelatedToEdge,false,229,229,0,0
103,DocumentEdge,false,2620,2620,0,0
104,RelatedToEdge,false,406,406,0,0
105,DocumentEdge,false,681,681,0,0
106,RelatedToEdge,false,143,143,0,0
107,RelatedToEdge,false,1010,1010,0,0
108,DocumentEdge,false,268,268,0,0
109,RelatedToEdge,false,26,26,0,0
110,DocumentEdge,false,172,172,0,0
111,RelatedToEdge,false,19,19,0,0
112,DocumentEdge,false,327,327,0,0
113,RelatedToEdge,false,53,53,0,0
114,DocumentEdge,false,207,207,0,0
115,RelatedToEdge,false,22,22,0,0
116,DocumentEdge,false,840,840,0,0
117,RelatedToEdge,false,129,129,0,0
118,DocumentEdge,false,544,544,0,0
119,RelatedToEdge,false,156,156,0,0
120,DocumentEdge,false,490,490,0,0
121,RelatedToEdge,false,30,30,0,0
122,DocumentEdge,false,152,152,0,0
123,RelatedToEdge,false,16,16,0,0
124,DocumentEdge,false,787,787,0,0
125,RelatedToEdge,false,63,63,0,0
126,DocumentEdge,false,113,113,0,0
127,RelatedToEdge,false,12,12,0,0
128,DocumentEdge,false,96,96,0,0
129,RelatedToEdge,false,14,14,0,0
130,DocumentEdge,false,13,13,0,0
131,RelatedToEdge,false,1,1,0,0
132,DocumentEdge,false,786,786,0,0
133,DocumentEdge,false,74,74,0,0
