NodeID,Type,Name,VertexDegree,EdgeDegree,InVertexDegree,OutVertexDegree,InEdgeDegree,OutEdgeDegree,DirectedInVertexDegree,DirectedOutVertexDegree,DirectedInEdgeDegree,DirectedOutEdgeDegree
0,EntityNode,Iguanodon,2290,2,2290,2290,2,1,1,0,1,0
1,EntityNode,close packed,234,3,234,234,3,2,1,0,1,0
2,EntityNode,1979,1991,5,1991,1991,5,4,1,0,1,0
3,EntityNode,Wicked Wanda,814,2,814,814,2,1,1,0,1,0
4,EntityNode,Fireworks Music,320,3,320,320,3,2,1,0,1,0
5,EntityNode,Ron Embleton,814,3,814,814,3,2,2,0,1,0
6,EntityNode,Magna Carta,814,3,814,814,3,2,2,0,1,0
7,EntityNode,Germaine Greer,814,3,814,814,3,2,1,0,1,0
8,EntityNode,Science Museum,320,3,320,320,3,2,1,0,1,0
9,EntityNode,TV Century 21,814,2,814,814,2,2,0,0,0,0
10,EntityNode,Freud Museum,320,3,320,320,3,2,2,0,1,0
11,EntityNode,Handel House Museum,320,3,320,320,3,2,2,0,1,0
12,EntityNode,New York,3796,11,3796,3796,11,10,2,0,1,0
13,EntityNode,Natural History Museum,2524,5,2524,2524,5,4,2,0,1,0
14,EntityNode,Fidel Castro,814,3,814,814,3,2,2,0,1,0
15,EntityNode,Berriasian,2290,3,2290,2290,3,2,1,0,1,0
16,EntityNode,Time travel,814,3,814,814,3,2,2,0,1,0
17,EntityNode,Upper Jurassic,2290,3,2290,2290,3,2,1,0,1,0
18,EntityNode,Tate,320,3,320,320,3,2,1,0,1,0
19,EntityNode,Zadok the Priest,320,3,320,320,3,2,2,0,1,0
20,EntityNode,Geffrye Museum,320,3,320,320,3,2,1,0,1,0
21,EntityNode,Captain Scarlet,814,3,814,814,3,2,2,0,1,0
22,EntityNode,baroque music,320,3,320,320,3,2,1,0,1,0
23,EntityNode,Howard Hughes,814,3,814,814,3,2,1,0,1,0
24,EntityNode,Mayfair,320,3,320,320,3,2,1,0,1,0
25,EntityNode,Thunderbirds,814,2,814,814,2,2,0,0,0,0
26,EntityNode,Tate Britain,320,3,320,320,3,2,2,0,1,0
27,EntityNode,German,3209,7,3209,3209,7,6,1,0,1,0
28,EntityNode,Lyndon B. Johnson,1788,5,1788,1787,5,4,3,0,1,0
29,EntityNode,Frederic Mullally,814,2,814,814,2,2,0,0,0,0
30,EntityNode,Spiro Agnew,814,3,814,814,3,2,2,0,1,0
31,EntityNode,Clark Gable,814,3,814,814,3,2,1,0,1,0
32,EntityNode,Guildhall Art Gallery,320,3,320,320,3,2,1,0,1,0
33,EntityNode,Mao Zedong,814,3,814,814,3,2,2,0,1,0
34,EntityNode,comic book,814,3,814,814,3,2,2,0,1,0
35,EntityNode,pastiche,814,2,814,814,2,2,0,0,0,0
36,EntityNode,Hadrosaurid,2984,5,2984,2984,5,4,1,0,1,0
37,EntityNode,Lower Cretaceous,2290,3,2290,2290,3,2,1,0,1,0
38,EntityNode,John Wayne,814,3,814,814,3,2,1,0,1,0
39,EntityNode,mammal,3054,7,3054,3054,7,6,1,0,1,0
40,EntityNode,Maidstone,2290,2,2290,2290,2,2,0,0,0,0
41,EntityNode,Richard Nixon,1787,5,1787,1787,5,4,2,0,1,0
42,EntityNode,Blue Plaque,320,3,320,320,3,2,1,0,1,0
43,EntityNode,Jimi Hendrix,320,3,320,320,3,2,2,0,1,0
44,EntityNode,Hollywood,1706,5,1706,1706,5,4,1,0,1,0
45,EntityNode,Chappaquiddick Bridge,814,3,814,814,3,2,1,0,1,0
46,EntityNode,London,6298,15,6298,6298,15,14,1,0,1,0
47,EntityNode,Muhammad Ali,814,3,814,814,3,2,2,0,1,0
48,EntityNode,Tate Modern,320,3,320,320,3,2,2,0,1,0
49,EntityNode,Greek,3805,7,3805,3805,7,6,1,0,1,0
50,EntityNode,Lee Marvin,814,3,814,814,3,2,2,0,1,0
51,EntityNode,Christian Erich Hermann von Meyer,2290,3,2290,2290,3,2,5,0,1,0
