NodeID,Type,Degree,InDegree,OutDegree
0,EntityNode,468,468,468
1,EntityNode,471,471,471
2,EntityNode,468,468,468
3,EntityNode,471,471,471
4,EntityNode,468,468,468
5,EntityNode,471,471,471
6,EntityNode,468,468,468
7,EntityNode,468,468,468
8,EntityNode,471,471,471
9,EntityNode,320,320,320
10,EntityNode,320,320,320
11,EntityNode,320,320,320
12,EntityNode,320,320,320
13,EntityNode,320,320,320
14,EntityNode,320,320,320
15,EntityNode,320,320,320
16,EntityNode,320,320,320
17,EntityNode,320,320,320
18,EntityNode,320,320,320
19,EntityNode,320,320,320
20,EntityNode,320,320,320
21,EntityNode,320,320,320
22,EntityNode,320,320,320
23,EntityNode,320,320,320
24,EntityNode,320,320,320
25,EntityNode,320,320,320
26,EntityNode,320,320,320
27,EntityNode,320,320,320
28,EntityNode,320,320,320
29,EntityNode,320,320,320
30,EntityNode,321,321,320
31,EntityNode,320,320,320
32,EntityNode,320,320,320
33,EntityNode,320,320,320
34,EntityNode,320,320,320
35,EntityNode,320,320,320
36,EntityNode,320,320,320
37,EntityNode,320,320,320
38,EntityNode,321,321,320
39,EntityNode,320,320,320
40,EntityNode,320,320,320
41,EntityNode,321,321,320
42,EntityNode,320,320,320
43,EntityNode,320,320,320
44,EntityNode,320,320,320
45,EntityNode,320,320,320
46,EntityNode,320,320,320
47,EntityNode,320,320,320
48,EntityNode,320,320,320
49,EntityNode,320,320,320
50,EntityNode,320,320,320
51,EntityNode,320,320,320
52,EntityNode,320,320,320
53,EntityNode,320,320,320
54,EntityNode,320,320,320
55,EntityNode,320,320,320
56,EntityNode,320,320,320
57,EntityNode,320,320,320
58,EntityNode,320,320,320
59,EntityNode,320,320,320
60,EntityNode,320,320,320
61,EntityNode,320,320,320
62,EntityNode,320,320,320
63,EntityNode,320,320,320
64,EntityNode,320,320,320
65,EntityNode,320,320,320
66,EntityNode,2062,2062,2062
67,EntityNode,320,320,320
68,EntityNode,320,320,320
69,EntityNode,321,321,320
70,EntityNode,3928,3928,3928
71,EntityNode,320,320,320
72,EntityNode,320,320,320
73,EntityNode,320,320,320
74,EntityNode,320,320,320
75,EntityNode,320,320,320
76,EntityNode,320,320,320
77,EntityNode,320,320,320
78,EntityNode,1586,1586,1586
79,EntityNode,320,320,320
80,EntityNode,320,320,320
81,EntityNode,320,320,320
82,EntityNode,320,320,320
83,EntityNode,320,320,320
84,EntityNode,320,320,320
85,EntityNode,320,320,320
86,EntityNode,320,320,320
87,EntityNode,320,320,320
88,EntityNode,320,320,320
89,EntityNode,320,320,320
90,EntityNode,320,320,320
91,EntityNode,320,320,320
92,EntityNode,320,320,320
93,EntityNode,320,320,320
94,EntityNode,320,320,320
95,EntityNode,320,320,320
96,EntityNode,320,320,320
