NodeID,Type,Name,VertexDegree,EdgeDegree,InVertexDegree,OutVertexDegree,InEdgeDegree,OutEdgeDegree,DirectedInVertexDegree,DirectedOutVertexDegree,DirectedInEdgeDegree,DirectedOutEdgeDegree
0,EntityNode,Pareiasaurus,365,2,365,365,2,2,0,0,0,0
1,EntityNode,Tylosaurus,365,2,365,365,2,2,0,0,0,0
2,EntityNode,Mixosaurus,365,2,365,365,2,2,0,0,0,0
3,EntityNode,Milleretta,365,3,365,365,3,2,1,0,1,0
4,EntityNode,Snake,365,3,365,365,3,2,1,0,1,0
5,EntityNode,Prehistoric reptile,365,1,365,365,1,1,0,0,0,0
6,EntityNode,Najash,365,3,365,365,3,2,1,0,1,0
7,EntityNode,Ophthalmosaurus,365,2,365,365,2,2,0,0,0,0
8,EntityNode,Scutosaurus,365,2,365,365,2,2,0,0,0,0
9,EntityNode,Temnodontosaurus,365,2,365,365,2,2,0,0,0,0
10,EntityNode,Bolosaurid,365,3,365,365,3,2,1,0,1,0
11,EntityNode,Haasiophis,365,2,365,365,2,2,0,0,0,0
12,EntityNode,Plesiosaur,365,3,365,365,3,2,1,0,1,0
13,EntityNode,Eurhinosaurus,365,2,365,365,2,2,0,0,0,0
14,EntityNode,Pareiasaur,365,3,365,365,3,2,1,0,1,0
15,EntityNode,Pachyrhachis,365,2,365,365,2,2,0,0,0,0
16,EntityNode,Bradysaurus,365,2,365,365,2,2,0,0,0,0
17,EntityNode,archosaurs,365,2,365,365,2,2,0,0,0,0
18,EntityNode,placodont,365,3,365,365,3,2,1,0,1,0
19,EntityNode,Garjaina,365,3,365,365,3,2,1,0,1,0
20,EntityNode,Turtle,365,2,365,365,2,2,0,0,0,0
21,EntityNode,nothosaur,365,3,365,365,3,2,1,0,1,0
22,EntityNode,Anthodon,365,3,365,365,3,2,1,0,1,0
23,EntityNode,Trilophosaur,365,3,365,365,3,2,1,0,1,0
24,EntityNode,terrapin,365,3,365,365,3,2,1,0,1,0
25,EntityNode,Ceresiosaurus,365,2,365,365,2,2,0,0,0,0
26,EntityNode,Rhynchosaur,365,3,365,365,3,2,1,0,1,0
27,EntityNode,Claudiosaurus,365,2,365,365,2,2,0,0,0,0
28,EntityNode,tortoise,365,2,365,365,2,2,0,0,0,0
29,EntityNode,Hyperodepedon,365,3,365,365,3,2,1,0,1,0
30,EntityNode,Cryptocleidus,365,2,365,365,2,2,0,0,0,0
31,EntityNode,Henodus,365,2,365,365,2,2,0,0,0,0
32,EntityNode,Lotosaurus,365,2,365,365,2,2,0,0,0,0
33,EntityNode,Elasmosaurus,365,2,365,365,2,2,0,0,0,0
34,EntityNode,Archelon,365,3,365,365,3,2,1,0,1,0
35,EntityNode,Prolacertiformes,365,2,365,365,2,2,0,0,0,0
