NodeID,Type,Degree,InDegree,OutDegree
0,EntityNode,365,365,365
1,EntityNode,365,365,365
2,EntityNode,365,365,365
3,EntityNode,365,365,365
4,EntityNode,365,365,365
5,EntityNode,365,365,365
6,EntityNode,365,365,365
7,EntityNode,365,365,365
8,EntityNode,365,365,365
9,EntityNode,365,365,365
10,EntityNode,365,365,365
11,EntityNode,365,365,365
12,EntityNode,365,365,365
13,EntityNode,365,365,365
14,EntityNode,365,365,365
15,EntityNode,365,365,365
16,EntityNode,365,365,365
17,EntityNode,365,365,365
18,EntityNode,365,365,365
19,EntityNode,365,365,365
20,EntityNode,365,365,365
21,EntityNode,365,365,365
22,EntityNode,365,365,365
23,EntityNode,365,365,365
24,EntityNode,365,365,365
25,EntityNode,365,365,365
26,EntityNode,365,365,365
27,EntityNode,365,365,365
28,EntityNode,365,365,365
29,EntityNode,365,365,365
30,EntityNode,365,365,365
31,EntityNode,365,365,365
32,EntityNode,365,365,365
33,EntityNode,365,365,365
34,EntityNode,365,365,365
35,EntityNode,365,365,365
36,EntityNode,365,365,365
37,EntityNode,365,365,365
38,EntityNode,365,365,365
39,EntityNode,365,365,365
40,EntityNode,365,365,365
41,EntityNode,365,365,365
42,EntityNode,365,365,365
43,EntityNode,365,365,365
44,EntityNode,365,365,365
45,EntityNode,365,365,365
46,EntityNode,365,365,365
47,EntityNode,365,365,365
48,EntityNode,365,365,365
49,EntityNode,365,365,365
50,EntityNode,365,365,365
51,EntityNode,365,365,365
52,EntityNode,365,365,365
53,EntityNode,365,365,365
54,EntityNode,365,365,365
55,EntityNode,365,365,365
56,EntityNode,365,365,365
57,EntityNode,365,365,365
58,EntityNode,365,365,365
59,EntityNode,365,365,365
60,EntityNode,365,365,365
61,EntityNode,365,365,365
62,EntityNode,365,365,365
63,EntityNode,365,365,365
64,EntityNode,365,365,365
65,EntityNode,365,365,365
66,EntityNode,365,365,365
67,EntityNode,365,365,365
68,EntityNode,365,365,365
69,EntityNode,365,365,365
70,EntityNode,365,365,365
71,EntityNode,365,365,365
72,EntityNode,365,365,365
73,EntityNode,365,365,365
74,EntityNode,365,365,365
75,EntityNode,365,365,365
76,EntityNode,365,365,365
77,EntityNode,365,365,365
78,EntityNode,365,365,365
79,EntityNode,365,365,365
80,EntityNode,365,365,365
81,EntityNode,365,365,365
82,EntityNode,365,365,365
83,EntityNode,365,365,365
84,EntityNode,365,365,365
85,EntityNode,365,365,365
86,EntityNode,365,365,365
87,EntityNode,365,365,365
88,EntityNode,365,365,365
89,EntityNode,365,365,365
90,EntityNode,365,365,365
